101.0205   235.5466    71.7477
101.1882   234.4494    71.8751
101.1882   234.4494    71.8751
101.3126   233.7349    71.9481
101.5230   232.7270    72.0266
101.7762   231.7305    72.0690
102.0572   230.8053    72.0648
102.3425   229.9607    72.0162
102.6008   229.1640    71.9362
102.7962   228.3636    71.8437
102.8925   227.5158    71.7576
102.8590   226.6056    71.6918
102.6769   225.6551    71.6524
102.3745   224.8044    71.6394
102.3745   224.8044    71.6394
101.8719   223.8492    71.6419
101.4707   223.3297    71.6511
101.4707   223.3297    71.6511
100.6557   222.4872    71.6690
100.0033   221.9744    71.6769
100.7198   213.2432    71.7351
101.6099   213.1041    71.8965
102.4200   212.9845    72.0345
102.4200   212.9845    72.0345
103.5692   212.7809    72.2188
104.5546   212.5384    72.3698
105.4824   212.2222    72.5177
106.5996   211.6209    72.7373
106.5996   211.6209    72.7373
107.0042   211.3369    72.8317
107.5459   210.7535    73.0036
107.9318   210.0705    73.1790
108.1754   209.2925    73.3461
108.3048   208.4340    73.4921
108.3583   207.5202    73.6083
108.3791   206.5816    73.6939
108.4087   205.6479    73.7575
108.4818   204.7410    73.8145
108.6217   203.8704    73.8821
108.8389   203.0323    73.9728
109.1314   202.2136    74.0893
109.4868   201.3977    74.2230
109.8860   200.5710    74.3560
110.3062   199.7273    74.4669
110.7250   198.8685    74.5373
111.1218   198.0020    74.5584
111.4806   197.1360    74.5332
111.7906   196.2754    74.4759
112.0473   195.4188    74.4068
112.2527   194.5595    74.3466
112.4148   193.6879    74.3099
112.5457   192.7964    74.3020
112.6582   191.8828    74.3191
112.7622   190.9517    74.3507
112.8602   190.0132    74.3845
112.9453   189.0794    74.4099
113.0023   188.1600    74.4210
113.0112   187.2593    74.4168
112.9546   186.3749    74.3991
112.8262   185.4997    74.3704
112.6360   184.6243    74.3324
112.4132   183.7414    74.2850
112.2007   182.8480    74.2276
112.0461   181.9460    74.1613
111.9873   181.0409    74.0894
112.0406   180.1385    74.0187
112.1926   179.2432    73.9566
112.4008   178.3556    73.9095
112.6039   177.4732    73.8797
112.7383   176.5921    73.8638
112.7566   175.7092    73.8534
112.6426   174.8239    73.8378
112.4177   173.9385    73.8077
112.1352   173.0571    73.7584
111.8652   172.1832    73.6917
111.6737   171.3175    73.6148
111.6024   170.4570    73.5382
111.6567   169.5955    73.4708
111.8047   168.7255    73.4174
111.9876   167.8416    73.3765
112.1397   166.9423    73.3416
112.2083   166.0310    73.3038
112.1698   165.1149    73.2558
112.0354   164.2022    73.1943
111.8446   163.2994    73.1212
111.6507   162.4084    73.0421
111.5014   161.5263    72.9633
111.4243   160.6464    72.8884
111.4190   159.7609    72.8166
111.4604   158.8646    72.7426
111.5106   157.9563    72.6591
111.5343   157.0395    72.5605
111.5118   156.1209    72.4459
111.4455   155.2075    72.3206
111.3573   154.3038    72.1949
111.2783   153.4098    72.0804
111.2362   152.5214    71.9858
111.2438   151.6323    71.9131
111.2949   150.7365    71.8567
111.3673   149.8313    71.8045
111.4324   148.9185    71.7426
111.4668   148.0032    71.6596
111.4613   147.0923    71.5511
111.4233   146.1910    71.4205
111.3727   145.3004    71.2778
111.3324   144.4171    71.1357
111.3180   143.5338    71.0049
111.3311   142.6426    70.8906
111.3592   141.7382    70.7917
111.3823   140.8199    70.7021
111.3833   139.8928    70.6144
111.3571   138.9656    70.5236
111.3157   138.0477    70.4299
111.2843   137.1457    70.3382
111.2917   136.2608    70.2561
111.3575   135.3880    70.1907
111.4809   134.5178    70.1446
111.5708   134.0163    70.1277
111.5708   134.0163    70.1277
